handle,time,tweets
Fender,4/23/2019 21:57,Tune in tomorrow @ 5 PM PT for another edition of Fender Play LIVE! We will be sitting down with special guest… https://t.co/FdrylTr64Z
Fender,4/23/2019 16:00,"From contemporary high-gain to the classic, tube-driven electric sounds heard on your favorite albums, these state-… https://t.co/CHDHaBLt2p"
Fender,4/23/2019 10:42,Looking forward to have you on our stage @weareourgirl. See you on May 11 at The Old Market for #TGE19 https://t.co/87t5Lfr41I
Fender,4/22/2019 22:00,Have you read up on the latest additions to the California Series? Click below for everything you need to know abou… https://t.co/pMLB1YVKDI
Fender,4/22/2019 20:02,RT @bananasatlarge: Enter to win this #bass pickguard signed by @gunsnroses bassist @DuffMcKagan! Come to our @fender shop at our Santa Ros…
Fender,4/22/2019 19:00,Check out some of our favorite performers from @coachella Weekend 2 rocking Fender gear! @Blood_Orange… https://t.co/3MiLz5EjYY
Fender,4/22/2019 16:00,Do you know your musical alphabet?  Keep #InternationalGuitarMonth going and check out this video from #FenderPlay:… https://t.co/QPwalSjT9u
Fender,4/21/2019 7:00,Treat yourself for Easter with 20% off this Bank Holiday weekend 😎 https://t.co/uLUjwv8mbR [UK only] https://t.co/Sx4Iq0EneC
Fender,4/20/2019 16:00,What's your pick: The Ruby or Sapphire Tim Armstrong Hellcat Acoustic Guitar? https://t.co/MAxEX92veB
Fender,4/20/2019 8:30,Who fancies spending May 26 in London for Day 3 the @allpointseastuk festival? We have 3 pairs to give away so let… https://t.co/BMk38jU2Zg
Fender,4/20/2019 7:00,Respected producer @iainarcher and young Scottish artist @RoarButler go way back. So it was no surprise to see the… https://t.co/PRlZDcRpQV
Fender,4/19/2019 19:00,"Who rocks a 5-string bass?
🎸 - Squier Classic Vibe '70s Jazz Bass V https://t.co/HE9BrmpVc1"
Fender,4/19/2019 17:06,@CybertronGuy98 #tbt to last week when you got your new Player Series Strat!
Fender,4/19/2019 16:00,We want to thank everyone who participated in the #FleaBassRiffContest showing off your incredible talents! A speci… https://t.co/F01NIDc0lg
Fender,4/19/2019 7:00,Happy Bank Holiday! Get 20% off until Tuesday with our End of Season Sale 🤘 https://t.co/Or72rmjZBx [UK only] https://t.co/WDu9y1a2ms
Fender,4/18/2019 23:49,Does your family have any #tbt Fender photos? https://t.co/1g8bsvn1XY
Fender,4/18/2019 15:30,"As the perfect practice companion, the Mustang LT25 packs in over 70 years of expertise into a small but mighty dig… https://t.co/HOVHcVMOn6"
Fender,4/17/2019 23:46,RT @FretlessMonster: Woo hoo. That's me. Page 34 &amp; 35 of the online @Fender Bass Guitar Owner's Manual! 😁 I'm still like a kid with this st…
Fender,4/17/2019 21:00,🔊 SOUND ON 🔊 Listen to 3/3 ways you can use the new Downtown Express; an all-in-one tone-shaping pedal for bassists… https://t.co/hLqMjbGPXa
Fender,4/17/2019 19:00,🔊 SOUND ON 🔊 Listen to 2/3 ways you can use the new Downtown Express; an all-in-one tone-shaping pedal for bassists… https://t.co/GXNZ7QEMyB
Fender,4/17/2019 17:00,🔊 SOUND ON 🔊 Listen to 1/3 ways you can use the new Downtown Express; an all-in-one tone-shaping pedal for bassists… https://t.co/wwaK0BT5qd
Fender,4/17/2019 16:00,@_MelanieFaye_ plays a Strat because that’s what her heroes did. See how the Player Series Stratocaster connects th… https://t.co/3PTlnTXpev
Fender,4/16/2019 19:42,RT @ktlaENT: Winter is Here &amp; So are Fender’s Game of Thrones Special Edition Guitars @Fender @GameOfThrones #GameofThrones #ForTheThrone h…
Fender,4/16/2019 13:00,Watch Master Builder #RonThorn and @GameOfThrones co-creator D.B. Weiss talk through the Game of Thrones Sigil Coll… https://t.co/LDkRpzspVA
Fender,4/16/2019 8:31,How about that for a prize?! https://t.co/KwUdAuezRS
Fender,4/15/2019 19:00,Who's got an Artist Signature Acoustic Guitar in their collection? Drop a photo in the comments below! https://t.co/QogGIPtTzL
Fender,4/15/2019 19:00,Keep the #InternationalGuitarMonth celebration going by learning how to play chords together with Fender Play. What… https://t.co/C3i4DduMlw
Fender,4/15/2019 15:38,"Congrats @ryan_simmonds, @eb_fke &amp; @KateGoodrum. Drop us a DM with your details please."
Fender,4/13/2019 11:00,Who wants to see @alberthammondjr &amp; @thestrokes headline @allpointseastuk on May 25? It's gonna be an epic day with… https://t.co/e2wHnZIUhY
Fender,4/13/2019 7:30,.@davidwrench doesn’t like formulas when producing a song and that’s the approach he took when Undiscovered artist… https://t.co/FVSBJgRSq4
Fender,4/12/2019 19:00,Do you know what kind of picking style you use? Read about the different kinds of picking styles &amp; which ones you c… https://t.co/o6MuEZQjMk
Fender,4/12/2019 16:59,@HBO https://t.co/7mFWOLxcMv
Fender,4/12/2019 16:31,"Decked out in the electric-inspired style of Fender's California Player series, the Kingman Bass delivers the full,… https://t.co/U2QTLHiAHG"
Fender,4/12/2019 15:58,@HBO We're pretty loud.
Fender,4/11/2019 16:00,Bassists! Click below to watch Fender Product Managers Rick Heins &amp; Brandon Schmidt demo the new Rumble 800HD head:… https://t.co/mu4e5WGJdf
Fender,4/11/2019 1:00,"🔊 SOUND ON 🔊 The Pinwheel Rotary Speaker Emulator delivers the classic sound of an organ speaker and amp, featuring… https://t.co/CbN5D23VRN"
Fender,4/10/2019 22:00,"🔊 SOUND ON 🔊 The Pinwheel Rotary Speaker Emulator delivers the classic sound of an organ speaker and amp, featuring… https://t.co/Jj2ec6TdTY"
Fender,4/10/2019 19:00,"🔊 SOUND ON 🔊 The Pinwheel Rotary Speaker Emulator delivers the classic sound of an organ speaker and amp, featuring… https://t.co/uNFh3CWx3B"
Fender,4/10/2019 18:55,@magicaImiistery Our Consumer Relations team should be able to help you. You can contact them at consumerrelations@… https://t.co/Wof3eoCkN1
Fender,4/10/2019 18:51,@ChicagoMusicEx 😍
Fender,4/10/2019 18:48,@no_funeral Check back here one week from today 😎
Fender,4/10/2019 18:37,The Alternate Reality Sixty-Six delivers classic Fender sound in the unique visual style of a down-sized Jazz Bass… https://t.co/Yu4Cpd9Hop
Fender,4/10/2019 18:29,@reverb 😎
Fender,4/10/2019 18:28,Love the tone on this '73 P-Bass! Anyone else noodling on theirs today? https://t.co/gKLCz5Q7iN
Fender,4/10/2019 18:27,@pzutto Love that tone! 🤘
Fender,4/10/2019 15:47,"Congratulations to @themightyboo2, @_emmajane_ and @RickSkilbeck. DM us your details and we'll sort you out with the tickets."
Fender,4/9/2019 18:36,RT @iamyola: Thanks so much to @SheShredsMag for taking to me about finding freedom in playing the guitar and teaming up with @FenderGBI @F…
Fender,4/9/2019 16:00,"The Jimmy Page Mirror Telecaster® is an homage to Page’s legendary 1959 Telecaster, which began life in its factory… https://t.co/1hOftfo7Id"
Fender,4/8/2019 21:00,Watch Fender's Shane Nicholas walk through the exciting features of the ’62 Princeton @ChrisStapleton Edition Amp:… https://t.co/3NGtA7AF38
Fender,4/8/2019 19:00,Thoughts on this Squier Contemporary Active Stratocaster HH? https://t.co/J4JlkHKVgZ
Fender,4/8/2019 17:55,@JasonIsbell ❤️
Fender,4/8/2019 17:55,Who else loves theirs? https://t.co/tMOLoyLG7b
Fender,4/8/2019 15:00,#InternationalGuitarMonth is in full swing. Keep the celebration going by learning 3 easy chords with #FenderPlay:… https://t.co/z46Cbghinh
Fender,4/6/2019 9:00,"Who fancies going to Day 1 of @allpointseastuk Festival on May 24, 2019? Fender Next artist @LittleSimz will be per… https://t.co/aVgSiJqZDO"
Fender,4/6/2019 8:00,We love how @FEMMEHQ and Secaina used the Acoustasonic during their Undiscovered studio session. Not your typical u… https://t.co/KfOAZ8IswO
Fender,4/5/2019 19:00,"Calling all #FenderPlay Rock Path members: Which level are you on? Drop a comment below &amp; share your progress! 🎸

S… https://t.co/V4IGmwCE1T"
Fender,4/5/2019 16:00,"Where are you taking your setup this weekend?
Pictured: Squier Contemporary Telecaster HH, Dark Metallic Red + Must… https://t.co/eIhuG8Jyoz"
Fender,4/4/2019 9:48,Check out the Ultra Violet @JimiHendrix Stratocaster® - Fitted with Voodoo Child Strings and cable obviously 😎… https://t.co/fkrfKN4CZM
Fender,4/4/2019 0:01,Our Fender Play LIVE: Find Your Perfect Sound is now live on our YouTube channel. Click on the link to watch now! https://t.co/goOHx3FNrb
Fender,4/3/2019 22:00,🔊SOUND ON 🔊 The Bubbler Analog Chorus offers a great way to add some dimension to your guitar tone as the foundatio… https://t.co/3JscBpnBD1
Fender,4/3/2019 19:00,🔊SOUND ON 🔊 The Bubbler Analog Chorus offers a great way to add some dimension to your guitar tone as the foundatio… https://t.co/2vi9RqqzZW
Fender,4/3/2019 18:11,ANNOUNCEMENT: The #FenderPlay Path had been updated to be more personalized to your learning journey! Check out the… https://t.co/TNw51P7FMN
Fender,4/3/2019 16:00,🔊SOUND ON 🔊 The Bubbler Analog Chorus offers a great way to add some dimension to your guitar tone as the foundatio… https://t.co/Et8EqaznVr
Fender,4/3/2019 6:30,"Originally introduced in 1965, The California Series Villager 12-String has been updated for the modern player's ne… https://t.co/AzUMcDbaRT"
Fender,4/2/2019 23:53,Tune in tomorrow @ 5 PM PT for another edition of #FenderPlay LIVE! We will be sitting down with special guest… https://t.co/NIcyrwmUVm
Fender,4/2/2019 15:00,Check out this beautiful natural #Telecaster built by Dale Wilson at the #FenderCustomShop! Happy #TeleTuesday! https://t.co/YHdQtmVvs7
Fender,4/2/2019 10:21,"@jfvictoria21 @JJRosaOfficial Yes. These models have 9.5"" fingerboard radius."
Fender,4/2/2019 10:04,"@Dickinstein @JJRosaOfficial Hi Andy, Check out @GAK_CO_UK"
Fender,4/2/2019 6:30,Meet our new Limited Mahogany Blacktop Stratocaster 😎  Being played here is the Olympic White with gold hardware HH… https://t.co/SYo6Otglde
Fender,4/1/2019 18:33,@LeftyFretz @FenderGBI 😂 got us!
Fender,4/1/2019 18:32,RT @BMG_US: The 30th Anniversary reissue of @officialkeef’s solo debut #TalkIsCheap is now available everywhere! Check out the super deluxe…
Fender,4/1/2019 18:31,@kalieshorr @laneyamps 🤘
Fender,4/1/2019 16:00,Happy International Guitar Month! Kick off the celebration by learning a new song from #FenderPlay 🙌… https://t.co/pvkBRuZtLB
Fender,4/1/2019 9:58,#GameChanger 🤘 https://t.co/VLlB3gqdYd
Fender,4/1/2019 9:52,Has Danish @mrpeterhonore lost the plot? Not the Purple Tele!!! https://t.co/FnNPwUccSJ
Fender,3/31/2019 16:00,"Who is going to be making this an acoustic Sunday? 🤚

Check out more from the California Series Guitars here:… https://t.co/eGDj43fXVO"
Fender,3/30/2019 8:00,"One top UK producer - @BRyderJones, an undiscovered artist - @bessie_turner, and the Acoustasonic Telecaster met fo… https://t.co/Xgh3UWrNUH"
Fender,3/29/2019 21:56,RT @_MelanieFaye_: Yeet haw https://t.co/0GqKZuHuZ0
Fender,3/29/2019 21:55,RT @GuitarWorld: .@Fender's new @DuffMcKagan Deluxe Precision bass is based on the '80s Jazz Special McKagan used during the recording of '…
Fender,3/29/2019 21:37,Check our Instagram Stories tonight as we check-in with @angeldustmoney at their record pre-release acoustic set! https://t.co/RDddycvony
Fender,3/29/2019 21:19,@casial 🖖
Fender,3/29/2019 0:00,"With 50 onboard presets, 20 effects, and 15 amp types, the new Rumble LT25 is ideal for bassists looking for a powe… https://t.co/UgDzyaZ65Q"
Fender,3/28/2019 19:35,"RT @premierguitar: Our brand-new #FirstLook video finds @JohnBohlinger using a '50s #Strat, a @gibsonguitar &amp; a Filter'Tron-loaded @Gretsch…"
Fender,3/28/2019 16:00,"By the time you finish Level 5 of the Fender Play Blues Path, you'll learn:
✅ Palm muting
✅ Full-blown power chords… https://t.co/Xt8UrcYltq"
Fender,3/28/2019 10:21,#ThrowbackThursday to SXSW and @grahamcoxon vibing on the Acoustasonic Telecaster. Have you tried one yet? #TBT https://t.co/FrcpJAjVTb
Fender,3/27/2019 22:00,The Lost Highway Phaser offers sensitivity control to allow modulation rate changes based on your own playing dynam… https://t.co/ptlnp9Ccx8
Fender,3/27/2019 19:00,The Lost Highway Phaser offers the wave toggle switch to select between Sine and Triangle waveforms while switchabl… https://t.co/9tkp6w2uUR
Fender,3/27/2019 19:00,True or False: Ukuleles are tuned like the top four strings of a guitar 🤔 Get the answer + other ukulele tips here:… https://t.co/Op5STmL4Bc
Fender,3/27/2019 18:49,"Watch @DefLeppard perform ""Pour Some Sugar On Me"" with an American Acoustasonic Telecaster 
https://t.co/x4hSAACUfZ"
Fender,3/27/2019 16:09,"The Lost Highway Phaser brings powerful, flexible analog phasing to your rig. Foot-switchable Fast and Slow speed l… https://t.co/gw7XQciD1b"
Fender,3/27/2019 9:11,Loving from @Slaves! 👏🏼👏🏼 https://t.co/myqIABOI8T
Fender,3/26/2019 20:43,#TeleTuesday feat. @pearljam https://t.co/l2MiuFz80c
Fender,3/26/2019 16:28,"RT @andertonsmusic: Well don't these just sound absolutely lush?

As promised, here's @mrpeterhonore &amp; Cap taking the new @Fender pedals fo…"
Fender,3/26/2019 16:11,@OsvyTorres You might be able to find what you're looking for on the Product Support Page: https://t.co/bLyHQHDr0l… https://t.co/eT3o3LQmUV
Fender,3/26/2019 16:00,The @DuffMcKagan Deluxe Precision Bass is inspired by his '80s Fender Jazz Bass Special. Develop your own thunderou… https://t.co/FF1gEBYCbp
Fender,3/25/2019 20:30,"Intricate fingerboard inlays: yay or nay?

Check out the Tim Armstrong Hellcat here: https://t.co/5W9xFQ7723 https://t.co/2nub5iVu0j"
Fender,3/25/2019 19:00,"Check out some bonus material from the short film ""Artform"": Prolific producers @AliShaheed &amp; @AdrianYounge share t… https://t.co/pclwnrYIdW"
Fender,3/25/2019 18:11,@JasonIsbell ❤️❤️❤️
Fender,3/24/2019 19:00,"The First Fender Reissue: A Telecaster Bass History 

https://t.co/i53wuqgPkw https://t.co/gq7IszjGXt"
Fender,3/24/2019 15:00,"With a slew of switching options, the Jaguar is one of the most versatile guitars out there. Check out our comparis… https://t.co/cFPHgSXzmU"
Fender,3/23/2019 20:11,Cool Fender Stratocaster cake! Anyone else ever make something like this? #Stratocakester https://t.co/ccyGcaOURs
Fender,3/23/2019 19:00,"Inside the Song: There's No 'Smoke On the Water' Without Fire

https://t.co/i1SFes2PZB https://t.co/3ue5jtktHj"
Fender,3/23/2019 15:00,"What's your preferred top tonewood: Spruce, Mahogany, or something else?

Check out more Classic Design Acoustics h… https://t.co/e4sImTzfxo"
Fender,3/22/2019 20:05,"RT @turbowillis: I've gotta say that @Fender hit a home run with the #Rumble500 bass amp.  All the things you want in a great amp, no BS, a…"
Fender,3/22/2019 16:19,The first episode of Fender Sessions features up-and-coming R&amp;B artist @ToneStith in conversation with industry leg… https://t.co/TUrW0ipMSz
Fender,3/22/2019 16:12,RT @Fender: When the brand new Limited Edition American Pro Lightweight Ash Tele meets the @ChrisStapleton Signature '62 Princeton. To get…
Fender,3/22/2019 12:01,"If you're in Brighton (UK) this weekend, visit our friends at @GAK_CO_UK for #LearnToPlayDay2019 https://t.co/cDsu4uEqvl"
Fender,3/22/2019 7:30,When the brand new Limited Edition American Pro Lightweight Ash Tele meets the @ChrisStapleton Signature '62 Prince… https://t.co/l5O8EYq9vx
Fender,3/21/2019 21:05,"RT @PortolaSky: Vintage @Fender Guitar Ad / ""You Won't Part With Yours Either"" https://t.co/1cDG8Dvzpv"
Fender,3/21/2019 19:00,"Which Venice Soprano Ukulele fits you best: Surf Green or Shell Pink? 🌊

Check out more Fender Ukuleles here:… https://t.co/fF4nfP3qKe"
Fender,3/21/2019 16:28,@PurpleLemonad10 It does! What did you get?
Fender,3/21/2019 16:20,@everythingsalw1 That's a great combo right there!
Fender,3/21/2019 16:06,@chipbutty8 Nice collection you've got going!
Fender,3/21/2019 16:05,@vapefreemom Congrats! Happy playing!
Fender,3/21/2019 16:05,Tune in for @dearboyofficial today at 1:15PST on our IG! https://t.co/AopH8IZE5y
Fender,3/21/2019 12:52,@EtellJan @ghsstrings @Hughes_Kettner @Blackstaramps @Roland_US @ESPGuitarsUSA @HamerGuitars @Epiphone… https://t.co/74Dw3gGzbe
Fender,3/20/2019 23:37,@KenyaRo85328011 A touch! You can hear them here: https://t.co/efh4IsJRui
Fender,3/20/2019 23:34,@_b_rando_ Awesome! Congrats on the new amp!
Fender,3/20/2019 23:27,"@JoeColes_11 What about this?  ¯\_(ツ)_/¯  

https://t.co/AfUmeN7WKX"
Fender,3/20/2019 23:24,@lpoolsnr8 Sure! Congrats on the new Strat!
Fender,3/20/2019 23:24,@Qbdoobedoo Nice combination!
Fender,3/20/2019 23:22,"@Earle_Of_Decal7 Tell Liza Jo we say ""hello!"" 👋"
Fender,3/20/2019 23:22,@akkw1803 Hope it made a splash in your life! 🏄‍♂️
Fender,3/20/2019 23:21,@surveyoron Your secret's safe with us 😎
Fender,3/20/2019 23:21,@tomek_nbg Lovely burst! 🌞
Fender,3/20/2019 23:21,@Jurj_Clooners Always awesome to see one out in the wild! 🤘
Fender,3/20/2019 23:19,@DannyPietnik 🔥 beautiful!
Fender,3/20/2019 23:19,@mrzachattak Double the fun! 🤘
Fender,3/20/2019 23:19,@MaryColon 😎 great get!
Fender,3/20/2019 23:18,@ChrisGwinnLA 😍
Fender,3/20/2019 23:18,@Angeleco3Cruz So happy you do!
Fender,3/20/2019 23:18,@MartinWebb44 Congrats! Happy playing!
Fender,3/20/2019 23:17,@mcfontaine Great combo!
Fender,3/20/2019 23:16,@celston80 👀 Lovely!
Fender,3/20/2019 23:16,@jacooper68 Spectacular indeed!
Fender,3/20/2019 23:15,@Josht248 Gorgeous!
Fender,3/20/2019 23:15,@PinkyLiberachi 😍
Fender,3/20/2019 21:20,@cherryglazerr Looks awesome! Can't wait to see it on stage!
Fender,3/20/2019 21:20,RT @cherryglazerr: Thank you @Fender !!!!!!!!!! 💦💦💦💦💦💦💦💦💦💦💦💦💦💦💦💦💦💦💦💦 For the beautiful p bass!!!!!!!! https://t.co/4j6SN5Is0Y
Fender,3/20/2019 21:08,Anyone else get a new Fender recently? https://t.co/Rzt2CCCgfw
Fender,3/20/2019 19:00,Can't decide on an amp? Take a look at this article on why a modeling amp might be right for you:… https://t.co/VDlK1iqTg7
Fender,3/20/2019 18:08,RT @nathangaane: THANK YOU SO MUCH @fender for sorting me out for tour with this #AmericanPerformer Precision bass! it is an absolute beaut…
Fender,3/20/2019 16:48,"RT @DuffMcKagan: Duff McKagan announces new album ’Tenderness’ out May 31st + Headline Tour featuring @ShooterJennings​ ON SALE FRIDAY
Head…"
Fender,3/20/2019 16:00,"Previously available at the Custom Shop, the Handwound Tomatillo Stratocaster pickups are built by Pickup Master Bu… https://t.co/UXMUxMkEpI"
Fender,3/20/2019 15:08,RT @Guitarist_Mag: Tim Shaw reveals the secrets behind @Fender's American Performer pickups https://t.co/uDaN7XBRHW
Fender,3/19/2019 23:00,"6 new effects join the Fender family. Designed in-house, these pedals are made for artists looking for stage-ready… https://t.co/yCRWn7dlgt"
Fender,3/19/2019 22:57,"RT @CBianchiMusic: 1967 Fender Telecaster @fender
----------
📸 #speedyguitar
 https://t.co/nScQb2bCWi https://t.co/MSMK6kgG2Y"
Fender,3/19/2019 21:57,@bloezer Cool pic!
Fender,3/19/2019 21:44,RT @jeff_mabe: @Fender Love my Tele in Tidepool! https://t.co/TxFSbUeQY0
Fender,3/19/2019 19:00,"Feeling 🔵 ? Check out 10 easy Blues songs to learn from #FenderPlay: https://t.co/Dpl4G81TUA  

Which one will you… https://t.co/nAnPu98ObR"
Fender,3/18/2019 23:49,@HumbledGround Looking like the best!
Fender,3/18/2019 23:47,@ColinDesnoyers One of ours should do the trick!
Fender,3/18/2019 16:53,We are saddened at the news of Dick Dale’s passing. His spirit and influence to generations of music will never be… https://t.co/ppHKLbbJMX
Fender,3/17/2019 21:41,Thank you Dick Dale for all the music   💔 https://t.co/RN9MeTpOtP
Fender,3/17/2019 19:02,"#FenderPlay has the scoop on the 4 beginner chords you need to know: https://t.co/4W6fhe01dJ 

Do you remember the… https://t.co/4QS6WZ7rn2"
Fender,3/17/2019 16:00,"For the love of music and effortless style, rock out all season long in your favorite Fender graphic tees available… https://t.co/zH0OvFNxGn"
Fender,3/16/2019 22:30,RT @IanChanserelli3: @Fender 💀💀💀 https://t.co/d78LZmuhSt
Fender,3/16/2019 19:00,"#DYK the different types of figured Maple: Flame, Quilt, and Birdseye? https://t.co/KbfBL30Fmo"
Fender,3/16/2019 16:45,Day 2 of #SXSW2019 at the #FenderNext House was a blast! Will we see you next year? https://t.co/s9kNleoZst
Fender,3/16/2019 15:00,"What draws you to your Squier?

Check out all of our Squier guitars here: https://t.co/vRhYlD6pgJ https://t.co/FNc8tm8QKY"
Fender,3/15/2019 21:01,"Now streaming from the #FenderNext house: @yoursmith! Watch here: https://t.co/YLCisWunFF 

#SXSW2019 https://t.co/qMsU8JkdC7"
Fender,3/15/2019 20:11,We’re giving away free t-shirts right now at our #FenderNext house at #sxsw2019  Find this guy he has the free swag! https://t.co/rH1n2OfxLY
Fender,3/15/2019 19:05,"#FenderNext house Day 2! Our first panel of the day, ""Future Sounds"" is now streaming here: https://t.co/OFPFsm4bE8 https://t.co/S1vY7uDeu6"
Fender,3/15/2019 16:36,@buddrive2 Our Consumer Relations will do their best to help! You can contact them at consumerrelations@fender.com or 1-844-202-0924.
Fender,3/15/2019 16:10,Some more scenes from Day 1 at the #FenderNext house at #SXSW2019. Stay tuned for more today! https://t.co/c7YUcovXeX
Fender,3/15/2019 14:53,Tamela was our lucky winner yesterday. Who wants a chance to win today? Make sure you stop by our Fender Next… https://t.co/yFoASdb4o7
