handle,time,tweet
gibsonguitar,4/2/2019 23:32,Red ❤️ or Black 🖤?  #gibson #onlyagibsonisgoodenough #theoriginal https://t.co/VxKi0rFGrl
gibsonguitar,4/2/2019 2:15,Freddie King 1960 ES-345 🍒 #gibson #onlyagibsonisgoodenough #theoriginal https://t.co/vwxrzl0ZzK
gibsonguitar,3/29/2019 21:59,Les is More #gibson #onlyagibsonisgoodenough #theoriginal https://t.co/QGb24Ht7W7
gibsonguitar,3/28/2019 22:28,Catch Grammy nominee @FatouDiawara and her SG on tour in North America now! #gibson #onlyagibsonisgoodenough… https://t.co/DYXoLH9oGC
gibsonguitar,3/27/2019 21:57,"This week marks the 50th anniversary of John Lennon &amp; Yoko Ono’s “Bed-In for World Peace”. Five decades later, the… https://t.co/LtwtiXpXYB"
gibsonguitar,3/26/2019 21:26,The Standard as it should be... #gibson #theoriginal #onlyagibsonisgoodenough https://t.co/jWabJkkYas
gibsonguitar,3/25/2019 21:46,Want to spend a day with @slash in Nashville? Click on the link in our bio to enter! #gibson #slash… https://t.co/kvjEKfApze
gibsonguitar,3/22/2019 21:53,Amped up for the weekend #Gibson #theoriginal #onlyagibsonisgoodenough https://t.co/y2gBco6prd
gibsonguitar,3/21/2019 21:46,Bozeman’s Best #gibson #onlyagibsonisgoodenough #theoriginal https://t.co/8zKy6md0cq
gibsonguitar,3/20/2019 21:47,Ready to lay down some riffs #Gibson  #theoriginal #onlyagibsonisgoodenough https://t.co/GIX9Q32oIR
gibsonguitar,3/19/2019 21:35,Hold on Tight @EleonoreCostes #gibson #theoriginal #onlyagibsonisgoodenough… https://t.co/Hv3zypK5Mi
gibsonguitar,3/19/2019 1:53,"Until next year @sxsw, we had a blast! Thank you to everyone who helped make this week possible! #sxsw #gibson… https://t.co/pMbBg9UScq"
gibsonguitar,3/17/2019 5:12,Here’s a glimpse of Gibson at Day 2 of Luck Reunion at @SXSW #gibson #onlyagibsonisgoodenough #theoriginal https://t.co/N0aqgxQI1D
gibsonguitar,3/16/2019 3:27,What songs are you playing this weekend? #gibson #theoriginal #onlyagibsonisgoodenough https://t.co/MRtrt3kcZc
gibsonguitar,3/15/2019 3:48,Luck Reunion 2019 at @sxsw #gibson #onlyagibsonisgoodenough #theoriginal https://t.co/4EkMlH4pYg
gibsonguitar,3/14/2019 1:47,We’ve been having a blast at @sxsw so far! Be sure to keep up with our page to see what we’re up to! #gibson… https://t.co/56Tv2HLzcQ
gibsonguitar,3/13/2019 18:48,Catch our CEO’s Featured Session at @sxsw today at 2:00pm CST #gibson #onlyagibsonisgoodenough #sxsw https://t.co/ib0ZJu3uhl
gibsonguitar,3/13/2019 1:40,"Charles Berry Jr. playing his father, Chuck Berry’s, original 355 at SXSW. #gibson #onlyagibsonisgoodenough… https://t.co/MFksuvobtj"
gibsonguitar,3/12/2019 4:00,"“I've always played music since I was 12, and I guess I always will.” - Dennis Quaid #gibson #theoriginal… https://t.co/3roG2bBWOl"
gibsonguitar,3/11/2019 18:51,Thank you to these great partners who collaborated with us at Winter NAMM! #gibson #theoriginal… https://t.co/4JTo6NG2yj
gibsonguitar,3/8/2019 23:49,Happy International Women’s Day to all the female guitarists around the world! YOU ROCK 🤘🏻 #gibson #theoriginal… https://t.co/DLvZxG4LYO
gibsonguitar,3/7/2019 23:08,Song requests? #gibson #theoriginal https://t.co/BWziiCDz1V
gibsonguitar,3/7/2019 16:11,"Welcome to the family @markagnesi #gibson #theoriginal 
https://t.co/DyoFln1RCW"
gibsonguitar,3/7/2019 4:32,Where would you play this ES? #gibson #theoriginal #amsterdam https://t.co/N2pq41BGuu
gibsonguitar,3/5/2019 23:06,The Lineup #gibson #theoriginal https://t.co/C37Gh8KX0j
gibsonguitar,3/5/2019 2:27,Show Your Stripes #gibson #theoriginal https://t.co/ubvXET8o3L
gibsonguitar,3/2/2019 4:55,Details 🌼 #gibson #theoriginal https://t.co/yPeCyawLw2
gibsonguitar,2/28/2019 23:03,Who’s your favorite SG shredder? Tag them below! #gibson #theoriginal https://t.co/oINpqE4StB
gibsonguitar,2/27/2019 23:23,In the Works #gibson #theoriginal https://t.co/Gcm31doETf
gibsonguitar,2/26/2019 23:15,Does this Spark(le) joy? ✨ #gibson #theoriginal https://t.co/VySRK3jMvH
gibsonguitar,2/25/2019 23:36,No Rest for Rockstars 🤘🏻 catch @ct3guitar with @bushofficial on tour this Spring and Summer! #gibson https://t.co/0eXWeDjuMX
gibsonguitar,2/23/2019 0:32,"@sadukie @MrNuclearGuy I can't open the link, but send the details to us at service@gibson.com and we'll be happy to take a look. Thanks!"
gibsonguitar,2/23/2019 0:28,"@amandajanemiles @Skynyrd Hi, Our Epiphone team has provided the details to the promoter and we have verified the d… https://t.co/Q5O6pU0Wns"
gibsonguitar,2/23/2019 0:15,All Natural #gibson #theoriginal https://t.co/fdpKFYaQKt
gibsonguitar,2/23/2019 0:11,"@MaximeMalon @CustomGibson Hi, yes - you can see the current version at https://t.co/hpTX6pJejR"
gibsonguitar,2/22/2019 2:05,Final Touches ✨ #gibson #theoriginal https://t.co/0CrmIdFRx8
gibsonguitar,2/21/2019 4:59,@GaryClarkJr is going LIVE on our Facebook this Friday 11:00am PT! What questions do you have for him? #gibson… https://t.co/zS76ROmruw
gibsonguitar,2/19/2019 23:01,Just ~in case~ you needed a little more Les Paul in your life #gibson #theoriginal #therealthing https://t.co/xfyHWC0Vdh
gibsonguitar,2/15/2019 23:38,What song would you play with this Les Paul? 🤘🏻 #gibson https://t.co/lHPVy4k91N
gibsonguitar,2/15/2019 2:04,Crushin’ on these two for Valentine’s Day. Happy Valentine’s Day from the Gibson Family!  ❤️ #gibson… https://t.co/IIiUmNPXmb
gibsonguitar,2/14/2019 1:30,Squad Goals @waxxgyver #gibson https://t.co/erdwt1pf6j
gibsonguitar,2/13/2019 3:59,"This scrimshaw portrait of Orville Gibson on the back of the 125th Anniversary Monarch took artist, Bob Hergert, 6… https://t.co/Uhd07ZTpea"
gibsonguitar,2/11/2019 22:29,Congratulations to all of the nominees and winners of the Grammys! What a great night! #gibson #gibsonatthegrammys… https://t.co/hbfNhgL4OS
gibsonguitar,2/11/2019 5:59,"“My mama called, seen you on TV, son.” #gibson #grammys @PostMalone https://t.co/twOLmSax2T"
gibsonguitar,2/10/2019 4:59,This guitar is #Grammys ready! #gibson #grammys https://t.co/bOkhPBnv1A
gibsonguitar,2/9/2019 5:42,Congratulations to the lovely @DollyParton for being @MusiCares Person of the Year. This L-00 Deluxe Gibson Custom… https://t.co/BedFPLLV58
gibsonguitar,2/8/2019 3:48,Which one would you play? #gibson https://t.co/btBvcu3Slw
gibsonguitar,2/6/2019 20:31,"@Douwe_Bob from Amsterdam, winner of multiple Edison Awards (“the Dutch Grammy’s”) talks about his music, heroes an… https://t.co/Ply6l8TQoL"
gibsonguitar,2/6/2019 3:25,Let’s Explore #gibson https://t.co/WFgUzAXVyl
gibsonguitar,2/5/2019 1:35,Who’s excited about this Les Paul Junior Tribute DC and Les Paul Special Tribute DC?! #gibson https://t.co/b2rOmT21Q5
gibsonguitar,2/2/2019 3:32,"Iconic French guitarist, Yarol Poupaud releases his first solo album on Polydor Records today! Congratulations… https://t.co/JbndsfSvTP"
gibsonguitar,2/1/2019 17:37,Celebrating 125 years of shaping sound across genres and generations and the 60th anniversary of the 1959 burst. Th… https://t.co/AsRq2hJEne
gibsonguitar,2/1/2019 1:07,Red Hot #Gibson #SG https://t.co/fYlXWYDaX4
gibsonguitar,1/31/2019 0:28,This beautiful guitar from @CustomGibson has us dreaming of blue water and sandy beaches #gibson #gibsoncustom https://t.co/XrAsJL2tHJ
gibsonguitar,1/29/2019 0:20,A big thank you note to our hard working craftsmen and women of the Gibson family. Thanks to their behind the scene… https://t.co/EJiUwBLBWV
gibsonguitar,1/28/2019 19:42,"'Revered maker makes splash on its return'
#gibsonatnamm2019 #namm2019
https://t.co/M1HyM1nfm6"
gibsonguitar,1/28/2019 19:40,"Thanks for the love @GuitarWorld! 
https://t.co/Db9XJwijDy"
gibsonguitar,1/28/2019 16:01,We hope you had as much fun at NAMM 2019 as we did! Who’s excited for what’s to come? #gibson #namm2019 https://t.co/ynG1JmbPVT
gibsonguitar,1/28/2019 5:08,Thank you all for joining us at NAMM 2019! That’s a wrap! #gibson #namm2019 https://t.co/RsHY7QuedP
gibsonguitar,1/27/2019 23:29,"American icon #TriniLopez stopped by our #GibsonAtNAMM2019 booth to chat about his first guitar, his famous fans an… https://t.co/MHfqCLryiT"
gibsonguitar,1/27/2019 20:39,@turkchgo @TheTipRock Happy Birthday to that beauty!
gibsonguitar,1/27/2019 20:38,"We're highlighting Gibson's 2019 Acoustic Series at #NAMM2019.  Check out the 125th Anniversary models,  Ltd Ed and… https://t.co/5A3Q2f34wZ"
gibsonguitar,1/27/2019 20:02,"We caught up with @CheapTrickRick to talk about his songwriting, stories from the road and of course his insane gui… https://t.co/reJhEVXI8K"
gibsonguitar,1/27/2019 18:11,RT @PaulJorgePavao: @gibsonguitar As far as I’m concerned Gibson makes the finest Acoustics Guitars - especially the AJ
gibsonguitar,1/27/2019 18:10,"RT @AnahitaSkye: The best guitars in the world, duh!! @gibsonguitar https://t.co/V4nt3GBw1E"
gibsonguitar,1/27/2019 18:08,"RT @Niallkersey: @JCursley @marshallamps @jimdunlopusa @gibsonguitar @CustomGibson @HUGOBOSS We aim to mate, with both the originals and th…"
gibsonguitar,1/27/2019 18:08,"RT @guitarcenter: Up close with the new @gibsonguitar @chriscornell ES-335 Tribute, featuring a Mother of Pearl Chris Cornell “signature” p…"
gibsonguitar,1/27/2019 18:00,"The esteemed rock guitarist @GilbyClarke sits down with Gibson’s Chief Merchant Officer, Cesar Gueikian at… https://t.co/X1lXCjCa5s"
gibsonguitar,1/27/2019 17:31,The illustrious British vocalist and guitarist Terry “Superlungs” Reid joined guitar hero @JJNicholsMusic the Gibso… https://t.co/CdGZoJ7ajY
gibsonguitar,1/27/2019 17:29,QUEEN!👑 https://t.co/Wf924bTtUX
gibsonguitar,1/27/2019 1:49,".@SheShredsMag hosts an all-female Gibson panel on tone, sound development and breaking through the music industry… https://t.co/3QEEniJEgs"
gibsonguitar,1/27/2019 0:05,"In 1898, Orville Gibson, founder of Gibson and inventor of the archtop guitar, hand built this original archtop. Th… https://t.co/iIPgowKKZq"
gibsonguitar,1/26/2019 23:47,"Here at our #NAMM2019 booth,  we have the original shipping ledger that details the first two #LesPaul model guitar… https://t.co/FUDHiLGUQk"
gibsonguitar,1/26/2019 23:09,Gibson Master Luthier Jason Jones showcases the craftmanship and handwork that goes into a Gibson acoustic pickguar… https://t.co/Qv0FDF0MRE
gibsonguitar,1/26/2019 22:53,".@LoudWire joins Gibson with some of rock's heaviest hitters @JJNicholsMusic, @DaveRude, @jasonhook_5fdp,… https://t.co/fw58mTSW1d"
gibsonguitar,1/26/2019 21:04,We're rockin' our way through Day 3 at  #NAMM2019.  Here's a peek at what we got into yesterday.  Having a blast!… https://t.co/lAACeBBInr
gibsonguitar,1/26/2019 20:12,"James “JC” Curleigh, Gibson Guitars new CEO, kicked off #NAMM with a speech that gets the guitar world excited for… https://t.co/5P23vCJ03V"
gibsonguitar,1/26/2019 20:02,"Stop what you're doing and head over to @GuitarWorld on Facebook for a live chat with @JJNicholsMusic,… https://t.co/IW6brlAbUJ"
gibsonguitar,1/26/2019 19:29,"Check it!  Guitar heroes @JJNicholsMusic and @EmilyWolfeMusic will be joining Gibson's CEO James ""JC""Curleigh and C… https://t.co/5NkydJkJZU"
gibsonguitar,1/26/2019 17:29,Check out the newly refined line-up of Gibson Classics. We’re paying tribute to the Golden Era of Gibson by restori… https://t.co/vOv3PmaM0D
gibsonguitar,1/26/2019 3:11,Guitarist @MonicaValli strums away on a Les Paul Goldtop Classic at the Gibson booth stage during  #NAMM2019. Monic… https://t.co/6APVU3SmHS
gibsonguitar,1/25/2019 23:33,"We sat down with @Michael5SOS from @5SOS at NAMM 2019 to chat about his new signature Melody Maker, favorite riffs… https://t.co/D8US9UAULS"
gibsonguitar,1/25/2019 21:11,".@Badflower’s @BadflowerJoey and Gibson’s Cesar Gueikian talk influences, Les Pauls, ES-335s and touring.
#gibson… https://t.co/kciS5zZTmR"
gibsonguitar,1/25/2019 20:10,Years of experience and endless passion go into all our hand-crafted manufacturing processes. Here’s one of our… https://t.co/aRFwued8KR
gibsonguitar,1/25/2019 17:56,"Day One at NAMM was a success.  Follow us for the latest.
https://t.co/vxLX2HQcmK
#onlyagibsonisgoodenough #gibsonatnamm2019 #namm2019"
gibsonguitar,1/25/2019 1:41,"Gibson Guitar CMO, Cesar Gueikian, sits down with @FrankHannon to talk about his musical influences, favorite Gibso… https://t.co/O5Ckmf47o1"
gibsonguitar,1/24/2019 17:12,"We're back.  Are you ready? 
https://t.co/qLXEjt3gsG
#gibson #kramer #epiphone #namm2019 #gibsonatnamm2019"
gibsonguitar,1/24/2019 7:25,NAMM ready 🤘🏻 #gibson #onlyagibsonisgoodenough #namm2019 #gibsonatnamm2019 https://t.co/pz0srJlW9w
gibsonguitar,1/23/2019 0:10,Tuesday Bluesday 🎶 Who wants to play this beauty? #gibson #onlyagibsonisgoodenough https://t.co/FKNry9wjvU
gibsonguitar,1/22/2019 0:23,Who’s RED-y for NAMM? #gibson #onlyagibsonisgoodenough https://t.co/5k64bmput3
gibsonguitar,1/18/2019 23:52,Front and Center #gibson #onlyagibsonisgoodenough https://t.co/MlkTjoFZUo
gibsonguitar,1/18/2019 1:24,What song would you rock with this Flying V? #gibson #onlyagibsonisgoodenough https://t.co/nVj27DgjOl
gibsonguitar,1/17/2019 0:17,Stay Golden #Gibson #onlyagibsonisgoodenough https://t.co/F5uO1grPd9
gibsonguitar,1/15/2019 23:02,We are honored to announce the re-release of the Chris Cornell Tribute 335 and to be part of tomorrow’s “I Am The H… https://t.co/N65fT7yPZY
gibsonguitar,1/14/2019 23:02,"Happy Birthday to Our Hero, watch him as he goes, he’s not ordinary 🎶🤘🏻 #gibson #onlyagibsonisgoodenough… https://t.co/8CyYAyuR1D"
gibsonguitar,1/14/2019 18:37,Hanging out with @premierguitar and @JohnBohlinger for their video shoot featuring Gibson 🤘🏻🎶 #gibson… https://t.co/vqUDHvR4Kr
gibsonguitar,1/11/2019 22:12,L-00 Studio Walnut Burst #gibson #onlyagibsonisgoodenough https://t.co/AU1gp0A6wL
gibsonguitar,1/10/2019 22:39,"Check out the Official Music Video for @GaryClarkJr new song, ""This Land"" #gibson #onlyagibsonisgoodenough

https://t.co/SKADERFC2z"
gibsonguitar,1/9/2019 22:50,Who’s ready for Winter NAMM? #sneakpeek #gibson #onlyagibsonisgoodenough https://t.co/T0ALUyaKSJ
gibsonguitar,1/8/2019 22:21,B.B. King Lucille in Cherry 🍒 #Gibson #onlyagibsonisgoodenough https://t.co/RD0bMbCZlf
gibsonguitar,1/7/2019 22:42,Long Monday? Take a seat #Gibson #onlyagibsonisgoodenough https://t.co/d6ruDlhIuR
gibsonguitar,1/5/2019 2:05,Who knows whose signature model this is? #gibson #onlyagibsonisgoodenough https://t.co/TOqTiTPTsQ
gibsonguitar,1/4/2019 3:01,He’s out of this world 🌍  #gibson #onlyagibsonisgoodenough https://t.co/q50QXmd2vm
gibsonguitar,1/3/2019 3:33,Gold Carpet Attire #gibson #onlyagibsonisgoodenough https://t.co/peHObuXecu
gibsonguitar,1/2/2019 3:37,HAPPY NEW YEAR! 🎊 @LuisFonsi #gibson #onlyagibsonisgoodenough https://t.co/gdsnrTnfRT
gibsonguitar,1/1/2019 1:25,BYE BYE 2018! Have a fun and safe New Years Eve! #gibson #happynewyear #onlyagibsonisgoodenough https://t.co/o7Wi5r6kGt
gibsonguitar,12/28/2018 22:57,ES-275 in Montreux Burst #gibson #onlyagibsonisgoodenough https://t.co/lO01ubPKUw
gibsonguitar,12/28/2018 1:26,SJ-200 Gallery #gibson #onlyagibsonisgoodenough https://t.co/FmBYMnLJHn
gibsonguitar,12/27/2018 2:23,We hope everyone had a great holiday! Who’s ready for the new year?! #gibson #onlyagibsonisgoodenough https://t.co/OdvnNWysl6
gibsonguitar,12/26/2018 15:31,"@Retro_uk Hi, yes, at https://t.co/2qKK7rNpXW"
gibsonguitar,12/21/2018 23:11,Rockin’ Around The Christmas Tree 🎄 We hope everyone has a safe and happy holiday! #gibson #onlyagibsonisgoodenough… https://t.co/DWORFeGfAn
gibsonguitar,12/21/2018 2:49,Gold looks good on you @officiallzzyhale 🤘🏻 #gibson #onlyagibsonisgoodenough https://t.co/vx5yHneJrt
gibsonguitar,12/20/2018 0:44,Everyday is Bluesday with this Aquamarine ES-335 Figured #gibson #onlyagibsonisgoodenough https://t.co/KBvkPW2fB5
gibsonguitar,12/18/2018 22:55,"What songs can you think of with the word, “Sun” in the title? ☀️ #gibson #onlyagibsonisgoodenough https://t.co/FANqAzlltp"
gibsonguitar,12/18/2018 0:06,"🎵 Oh the weather outside is frightful, but this SG is so delightful 🎶 #gibson #onlyagibsonisgoodenough https://t.co/U7S3X4ii3C"
gibsonguitar,12/15/2018 20:28,We were lucky enough to get to hangout with the amazing @sineadburgess in the Gibson L.A. Showroom this week 🎶🎵… https://t.co/qbA9Uoxfxy
gibsonguitar,12/15/2018 0:30,Congratulations to all the Rock &amp; Roll Hall Of Fame Inductees of 2019 #gibson #onlyagibsonisgoodenough https://t.co/md9E1dsxry
gibsonguitar,12/13/2018 23:51,Squad Goals #gibson #onlyagibsonisgoodenough https://t.co/oR2LeohItP
gibsonguitar,12/12/2018 22:35,ES-335 in Turquoise Stain #gibson #onlyagibsonisgoodenough https://t.co/iE5Q2ukK14
gibsonguitar,12/11/2018 22:33,Shreddin’ for Santa #gibson #onlyagibsonisgoodenough https://t.co/ZthyLnfNqb
gibsonguitar,12/11/2018 22:30,Which finish is your favorite? #gibson #onlyagibsonisgoodenough https://t.co/jA7wiG9gwQ
gibsonguitar,12/11/2018 0:00,Shout out to Petit Biscuit for completing a successful international tour! 📸: Jonathan Bertin #gibson… https://t.co/V8LU6KB2Mr
gibsonguitar,12/8/2018 0:58,Warm ☀️  #Gibson #onlyagibsonisgoodenough https://t.co/0iQba9Jr2z
gibsonguitar,12/7/2018 2:19,@georgevjestica from Nick Cave &amp; The Bad Seeds stopped by the Gibson Los Angeles Showroom recently to discuss songw… https://t.co/x2O3Ws8phX
gibsonguitar,12/6/2018 3:05,What song can you think of with “green” in the title? #epiphone https://t.co/WFv9hPOoRM
gibsonguitar,12/5/2018 22:40,#GiveWithMeaning this Holiday Season. Support the @americanredcross and people affected by disasters and you can wi… https://t.co/ReTvFpHUOz
gibsonguitar,12/4/2018 23:45,Close-Up #gibson #onlyagibsonisgoodenough https://t.co/YeqfTNbhaa
gibsonguitar,12/3/2018 23:00,Music Monday! What songs are you playing today? #gibson #onlyagibsonisgoodenough https://t.co/k2MgMYy7b6
gibsonguitar,12/1/2018 4:30,Jumping into the weekend like... #gibson #onlyagibsonisgoodenough             📸: Kaelan Barowsky https://t.co/HCy14nE6eD
gibsonguitar,11/29/2018 22:34,Au Naturel #gibson #onlyagibsonisgoodenough https://t.co/t0yrl7ICOG
gibsonguitar,11/29/2018 3:30,Happy Hour is whenever you’re playing a Gibson #gibson #onlyagibsonisgoodenough https://t.co/feuCeJ8KrT
gibsonguitar,11/27/2018 20:45,"This #GivingTuesday we are proud to be supporting @MyMusic_Rx‘s #Bedstock, the only music fest where bands play fro… https://t.co/65GRZB9BDv"
gibsonguitar,11/26/2018 23:17,Music by the Riverfront #gibson #onlyagibsonisgoodenough https://t.co/lT4BVjGJMn
gibsonguitar,11/23/2018 23:17,Happy Slash Friday! Head to the link in our bio for new @slash x Gibson apparel. Free shipping on all orders 11/23… https://t.co/EKzOX4tur5
gibsonguitar,11/22/2018 21:01,Thankful for beautiful guitars like this #Gibson #onlyagibsonisgoodenough #happythanksgiving https://t.co/ZfKxR1GapQ
gibsonguitar,11/21/2018 23:16,All of our favorite things in one photo 🐶🎵 #gibson #onlyagibsonisgoodenough https://t.co/SMBB4vqil8
gibsonguitar,11/21/2018 4:50,Spotlight ✨ #gibson #onlyagibsonisgoodenough https://t.co/NEhUFGzdge
gibsonguitar,11/20/2018 3:43,@slash Living The Dream 🎩🤘🏻 #gibson #onlyagibsonisgoodenough https://t.co/KulkBs2t05
gibsonguitar,11/16/2018 22:43,Congrats to everyone at the Latin Grammys last night! Special congratulations to @drexlerjorge for winning Record o… https://t.co/A5hEvyu1Ty
gibsonguitar,11/15/2018 17:53,Huge congratulations to all the winners at the CMA’s last night! #gibson #cma https://t.co/izq5MSGoOn
gibsonguitar,11/14/2018 22:18,Wishing all of our Gibson supporters  good luck at the CMA’s tonight! #gibson #cma https://t.co/jxt3gaNy13
gibsonguitar,11/13/2018 23:58,Exploring #gibson #onlyagibsonisgoodenough https://t.co/akBrk0Odhp
gibsonguitar,11/13/2018 0:01,SG? Yes Please 😈 #gibson #onlyagibsonisgoodenough https://t.co/aYwvZD8IPv
gibsonguitar,11/9/2018 23:41,Golden Hour ✨ #gibson #onlyagibsonisgoodenough https://t.co/hdDLa8fREj
gibsonguitar,11/8/2018 22:22,This 335 figured in Glacier Blue is giving us chills ❄️ #gibson #onlyagibsonisgoodenough https://t.co/9Cbesnn2dF
gibsonguitar,11/7/2018 22:18,"Which of the Gibson Sustainable Series is your favorite, the L-00, J-45 or Hummingbird? Comment Below! #gibson… https://t.co/ET6dnuTW23"
